Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2012-11-01,14.053645133972168,22.535381317138672,10.27695083618164,29.19831085205078,12.349811553955078,25.02952766418457,11.841959953308105,32.61015319824219,19.986751556396484
2012-11-02,13.80111312866211,22.164209365844727,10.213114738464355,28.95461082458496,12.189857482910156,24.881092071533203,11.760873794555664,32.432403564453125,19.973888397216797
2012-11-05,13.896772384643555,22.332645416259766,10.193965911865234,29.111825942993164,12.257206916809082,24.838674545288086,11.569506645202637,32.44856643676758,20.025354385375977
2012-11-06,14.042165756225586,22.69133758544922,10.30886459350586,29.42631721496582,12.31192398071289,25.022462844848633,11.575992584228516,32.48088455200195,20.132572174072266
2012-11-07,13.820242881774902,22.098711013793945,9.964171409606934,28.73448371887207,12.004656791687012,24.725576400756836,11.332731246948242,31.939537048339844,19.89668083190918
2012-11-08,13.632760047912598,21.699466705322266,9.881190299987793,28.43573570251465,11.83207893371582,24.456981658935547,11.313273429870605,31.559789657592773,19.575000762939453
2012-11-09,13.605982780456543,21.6932315826416,9.893957138061523,28.514352798461914,11.886796951293945,24.456981658935547,11.245160102844238,31.648649215698242,19.48065185546875
2012-11-12,13.605982780456543,21.736894607543945,9.91310977935791,28.59297752380371,11.86995792388916,24.456981658935547,11.15109634399414,31.810256958007812,19.49781036376953
2012-11-13,13.58302116394043,21.646442413330078,9.842890739440918,28.514352798461914,11.811031341552734,24.442848205566406,11.193264961242676,31.689048767089844,19.553564071655273
2012-11-14,13.353446006774902,21.38443946838379,9.670543670654297,27.84610939025879,11.693174362182617,24.174236297607422,11.115422248840332,31.309307098388672,19.261911392211914
2012-11-15,13.307530403137207,21.412506103515625,9.689696311950684,27.84610939025879,11.625826835632324,24.16717529296875,11.05055046081543,31.220426559448242,19.24904441833496
2012-11-16,13.33814525604248,21.496726989746094,9.75352668762207,27.92473030090332,11.642661094665527,24.32267951965332,11.144613265991211,31.454736709594727,19.377704620361328
2012-11-19,13.716935157775879,21.992666244506836,9.938642501831055,28.451457977294922,11.962563514709473,24.71851348876953,11.154342651367188,31.786027908325195,19.793743133544922
2012-11-20,13.72842025756836,21.90532875061035,9.989707946777344,28.475053787231445,11.912053108215332,24.810409545898438,11.134882926940918,31.963769912719727,19.89240264892578
2012-11-21,13.751378059387207,22.023849487304688,9.989707946777344,28.514352798461914,11.949934005737305,24.845760345458984,11.086234092712402,31.939537048339844,19.961027145385742
2012-11-23,13.92738151550293,22.335758209228516,10.110987663269043,28.88385009765625,12.143561363220215,25.21331024169922,11.05704116821289,32.3354377746582,20.226938247680664
2012-11-26,13.938858985900879,22.117431640625,10.072684288024902,28.907440185546875,12.198277473449707,25.02952766418457,11.196510314941406,32.190006256103516,20.132572174072266
2012-11-27,13.87763786315918,21.93340301513672,9.983321189880371,28.844539642333984,12.143561363220215,25.008331298828125,11.225699424743652,31.996103286743164,20.051084518432617
2012-11-28,13.935029029846191,22.13302230834961,10.021618843078613,29.0882511138916,12.215113639831543,25.248653411865234,11.27110767364502,32.246578216552734,20.312721252441406
2012-11-29,14.030682563781738,22.18292808532715,10.072684288024902,29.25334930419922,12.274044036865234,25.382953643798828,11.335976600646973,32.47278594970703,20.368478775024414
2012-11-30,14.042165756225586,22.164209365844727,10.059921264648438,29.190462112426758,12.261418342590332,25.474842071533203,11.455985069274902,32.513206481933594,20.38562774658203
2012-12-03,13.781991958618164,22.04256248474121,10.021618843078613,28.8759822845459,12.244579315185547,25.375885009765625,11.384631156921387,32.44048309326172,20.278404235839844
2012-12-04,13.808764457702637,21.96147346496582,9.996088981628418,28.986061096191406,12.223533630371094,25.32640838623047,11.326248168945312,32.513206481933594,20.1926212310791
2012-12-05,13.644244194030762,22.114309310913086,10.11737060546875,29.29266357421875,12.101468086242676,25.368812561035156,11.498152732849121,32.61824417114258,20.132572174072266
2012-12-06,13.678675651550293,22.18604278564453,10.149284362792969,29.284805297851562,12.173020362854004,25.39708709716797,11.49166202545166,32.60209274291992,20.26125144958496
2012-12-07,13.793458938598633,22.320167541503906,10.232267379760742,29.473478317260742,12.109885215759277,25.573808670043945,11.501391410827637,32.70712661743164,20.33844566345215
2012-12-10,13.881464004516602,22.295223236083984,10.206738471984863,29.62285804748535,12.139347076416016,25.5455265045166,11.50464153289795,32.844478607177734,20.222644805908203
2012-12-11,13.99242115020752,22.42621612548828,10.25779914855957,29.68574333190918,12.303508758544922,25.55967140197754,11.53058910369873,33.1919059753418,20.2869815826416
2012-12-12,13.957988739013672,22.507308959960938,10.302480697631836,29.732912063598633,12.282462120056152,25.50311851501465,11.51112174987793,33.14342498779297,20.312721252441406
2012-12-13,13.91972827911377,22.29833221435547,10.251415252685547,29.638572692871094,12.194070816040039,25.460718154907227,11.465717315673828,32.86062240600586,20.17975425720215
2012-12-14,14.023031234741211,22.214120864868164,10.213114738464355,29.57567596435547,12.076212882995605,25.41829490661621,11.420307159423828,32.731346130371094,20.093975067138672
2012-12-17,14.16460132598877,22.416852951049805,10.4237642288208,29.850841522216797,12.223533630371094,25.474842071533203,11.595458984375,32.989925384521484,20.454254150390625
2012-12-18,14.33295726776123,22.828577041625977,10.576959609985352,30.236066818237305,12.404528617858887,25.467775344848633,11.676541328430176,33.24846649169922,20.694433212280273
2012-12-19,14.27174186706543,22.672616958618164,10.513127326965332,30.070972442626953,12.341391563415527,25.21331024169922,11.588970184326172,32.8929557800293,20.548616409301758
2012-12-20,14.409481048583984,22.825464248657227,10.659941673278809,30.228199005126953,12.362439155578613,25.35468101501465,11.624651908874512,32.941436767578125,20.591503143310547
2012-12-21,14.282094955444336,22.59378433227539,10.534045219421387,30.03814125061035,12.255757331848145,25.13881492614746,11.582011222839355,32.664424896240234,20.408483505249023
