Date,SPY
2000-01-03,91.88780975341797
2000-01-04,88.2944107055664
2000-01-05,88.45234680175781
2000-01-06,87.03083038330078
2000-01-07,92.0852279663086
2000-01-10,92.4011001586914
2000-01-11,91.29541778564453
2000-01-12,90.38726806640625
2000-01-13,91.61134338378906
2000-01-14,92.85521697998047
2000-01-18,92.12469482421875
2000-01-19,92.87496948242188
2000-01-20,91.45341491699219
2000-01-21,91.25592041015625
2000-01-24,88.66949462890625
2000-01-25,89.67644500732422
2000-01-26,88.96571350097656
2000-01-27,88.61029052734375
2000-01-28,85.84616088867188
2000-01-31,88.1759262084961
2000-02-01,89.04467010498047
2000-02-02,89.12360382080078
2000-02-03,90.4662094116211
2000-02-04,90.09111785888672
2000-02-07,89.95285034179688
2000-02-08,91.17699432373047
2000-02-09,89.26182556152344
2000-02-10,89.43951416015625
2000-02-11,87.62312316894531
2000-02-14,88.13639831542969
2000-02-15,89.13350677490234
2000-02-16,87.8205337524414
2000-02-17,87.36643981933594
2000-02-18,85.49076843261719
2000-02-22,85.27362823486328
2000-02-23,86.28056335449219
2000-02-24,84.54302978515625
2000-02-25,84.2370376586914
2000-02-28,86.00411224365234
2000-02-29,86.83333587646484
2000-03-01,87.46514892578125
2000-03-02,87.52435302734375
2000-03-03,89.16310119628906
2000-03-06,88.2944107055664
2000-03-07,86.5865707397461
2000-03-08,86.47794342041016
2000-03-09,89.00519561767578
2000-03-10,88.53130340576172
2000-03-13,87.56388092041016
2000-03-14,86.32006072998047
2000-03-15,88.3338623046875
2000-03-16,92.46033477783203
2000-03-17,93.07141876220703
2000-03-20,92.59638214111328
2000-03-21,94.49662017822266
2000-03-22,95.07061767578125
2000-03-23,96.69374084472656
2000-03-24,97.26775360107422
2000-03-27,96.23849487304688
2000-03-28,95.68426513671875
2000-03-29,95.783203125
2000-03-30,94.1799087524414
2000-03-31,95.24878692626953
2000-04-03,95.80299377441406
2000-04-04,95.09041595458984
2000-04-05,94.49662017822266
2000-04-06,95.31806182861328
2000-04-07,95.92178344726562
2000-04-10,95.54568481445312
2000-04-11,95.26856231689453
2000-04-12,92.65573120117188
2000-04-13,91.369140625
2000-04-14,86.1435546875
2000-04-17,89.15220642089844
2000-04-18,91.50769805908203
2000-04-19,90.6565933227539
2000-04-20,91.09207916259766
2000-04-24,90.10230255126953
2000-04-25,93.84339904785156
2000-04-26,92.78443908691406
2000-04-27,92.47763061523438
2000-04-28,91.90357208251953
2000-05-01,93.15055084228516
2000-05-02,91.28997802734375
2000-05-03,89.15220642089844
2000-05-04,89.82521057128906
2000-05-05,90.91387939453125
2000-05-08,90.23100280761719
2000-05-09,89.50853729248047
2000-05-10,87.4895248413086
2000-05-11,89.48871612548828
2000-05-12,90.45862579345703
2000-05-15,92.0223159790039
2000-05-16,92.91304016113281
2000-05-17,91.94319152832031
2000-05-18,90.8149185180664
2000-05-19,89.38975524902344
2000-05-22,88.7167739868164
2000-05-23,87.41030883789062
2000-05-24,88.83556365966797
2000-05-25,87.31134033203125
2000-05-26,87.41030883789062
2000-05-30,90.26069641113281
2000-05-31,90.45862579345703
2000-06-01,92.04212951660156
2000-06-02,93.64543151855469
2000-06-05,93.19017028808594
2000-06-06,92.77454376220703
2000-06-07,93.41783142089844
2000-06-08,93.05165100097656
2000-06-09,92.85369110107422
2000-06-12,91.76499938964844
2000-06-13,93.487060546875
2000-06-14,93.64543151855469
2000-06-15,93.84339904785156
2000-06-16,93.07230377197266
2000-06-19,94.26277923583984
2000-06-20,93.92545318603516
2000-06-21,93.88579559326172
2000-06-22,92.4572525024414
2000-06-23,91.66362762451172
2000-06-26,92.8441162109375
2000-06-27,92.15961456298828
2000-06-28,92.4175796508789
2000-06-29,91.5445556640625
2000-06-30,92.23900604248047
2000-07-03,93.5088119506836
2000-07-05,91.82242584228516
2000-07-06,92.53659057617188
2000-07-07,94.024658203125
2000-07-10,93.86592864990234
2000-07-11,94.06434631347656
2000-07-12,94.67942810058594
2000-07-13,95.09600830078125
2000-07-14,96.02855682373047
2000-07-17,95.86985778808594
2000-07-18,95.0861587524414
2000-07-19,94.322265625
2000-07-20,95.63172149658203
2000-07-21,93.76675415039062
2000-07-24,93.23104095458984
2000-07-25,93.52867889404297
2000-07-26,92.615966796875
2000-07-27,92.29854583740234
2000-07-28,90.21526336669922
2000-07-31,90.79061889648438
2000-08-01,91.34620666503906
2000-08-02,91.80249786376953
2000-08-03,92.4374008178711
2000-08-04,92.93338775634766
2000-08-07,94.04452514648438
2000-08-08,94.40160369873047
2000-08-09,93.60798645019531
2000-08-10,93.15167999267578
2000-08-11,93.58817291259766
2000-08-14,94.77860260009766
2000-08-15,94.69925689697266
2000-08-16,94.36192321777344
2000-08-17,95.3539810180664
2000-08-18,95.03654479980469
2000-08-21,95.55236053466797
2000-08-22,95.39366912841797
2000-08-23,95.77061462402344
2000-08-24,96.06825256347656
2000-08-25,96.02855682373047
2000-08-28,96.35591125488281
2000-08-29,96.37579345703125
2000-08-30,95.45320129394531
2000-08-31,96.72303009033203
2000-09-01,96.82217407226562
2000-09-05,96.04841613769531
2000-09-06,94.95716857910156
2000-09-07,95.77061462402344
2000-09-08,95.1158676147461
2000-09-11,94.97702026367188
2000-09-12,94.2825927734375
2000-09-13,94.53060150146484
2000-09-14,95.00679016113281
2000-09-15,92.92821502685547
2000-09-18,92.07295227050781
2000-09-19,92.90833282470703
2000-09-20,92.22209167480469
2000-09-21,90.81986236572266
2000-09-22,92.47073364257812
2000-09-25,91.8143539428711
2000-09-26,90.64079284667969
